context,response
He played poker. Who plays poker without cigars? Even if he didn't light up himself! It was a rainy night. The windows were closed.,"All parents think their kids are special. And these ones were right. At least his white blood cells were special. They had an on switch for reacting to smoke, but no off. When he inhaled small amounts of smoke, he had small pRoblems. No one Even noticed. Big amounts of smoke, that's enough to trash a lung. As soon as he breathed in all that cigar smoke, he was a dead Man. The motorcycle accident was an unnecessary dramatic flourish."
"Eosiniphilic pneumonitis. But, the steroids would have treated for that.","I was right. Not about anything medical, but my metaphors were perfect. We need to hit it harder. We need to carpet bomb, blitzkrieg. We need the nuclear option."
"At some point you're going to say we need to radiate, right?","See, the metaphors work."
But that'll destroy the good lung too. Better to go with a strong cocktail of immunosuppressants.,Won't be fast enough. Wilson needs these lungs.
This is all you get. Ortho still has the outer office.,"Well, that sucks. Where are Chase, Taub, and Thirteen gonna sit?"
"You're welcome, House.",Oof!
Dinner later? I'll pick something up.,I heard about a good new vegetarian place.
Why am I watParkng you cut your hair?,"If I do it at home, I'm the one who has to clean it up."
I was referring less to where it's happening and more to why.,"New life, new look."
Does that mean you like your new life?,"If you're asking if your job is safe, that depends on what you have to say about the file you're holding."
"It doesn't seem like much of a case. Although, I'm sure I'm wrong!",You are. Tell me why.
"Guy collapsed after being on his feet for hours on a hot day without breakfast, so! that's really weird.","E.R. found nothing wrong, then I decided I should test his wallet."
He's rich? That's why we're taking the case?,"No, we're taking the case because no one knows what's wrong with him. And he's rich."
"No, we're taking the case because no one knows what's wrong with him. And he's rich.",Dr. Adams. Give her the file.
This is my only copy.,"My M.O. depends upon the use of a team. Definitionally, that involves! more than one person. So I really have no choice. Give her the file."
You can't afford a team.,"Adams is free. And I'm referring both to her availability and her price tag . New girl, meet newer girl, and vice versa."
You said we were meeting for coffee.,"Well, when someone asks if you want coffee, they obviously don't just mean coffee. Wait! did you think I was referring to sex? Would you shut the blinds on your way out?"
I thought you were referring to talking.,"Talking about medicine. Specifically, as it refers to the guy whose name is on the file she still hasn't handed you."
"I'm not working, House. I'm in the process of looking for a paying job.","In the meantime, there's no way a do-gooder like you has been volunteering all over town ï¿½ ladling kittens, spaying soup!"
There is a free clinic in Trenton.,"Well, think of this as today's free clinic. Only with fewer bums with herpes."
I don't think we actually have much of a case. I think it's just dehydration.,What happened the last time another doctor told you I was wrong about a case?
I lost my job.,You saved a life.
Most people with his kind of money are commissioning oil paintings of their Yorkshire terrier. Benjamin is sacrificing his own comfort to help others.,That's because helping others is his Yorkie oil painting.
"That's naive and sick. You really want to improve things? You do it through policy. This guy empties his pockets, what really changes?","That's right, all those babies with AIDS, they're just using us."
"My parents had $800 between them when they got here. They scraped and borrowed so we could go to good schools, and I worked my ass off. No one gave me a handout. It makes me work harder.",Rebuttal.
What's your evil plan?,I object to your cynicism.
It's been earned.,"That's what I object to. The new Dean of Medicine has an ethical obligation to come in with a completely open mind about all employees, thus letting me blithely run roughshod for at least four weeks."
"My theory is that you're running a battery of tests to convince him that you saved his life, then con him into funding you to hire back your team.",What?
Your old team?,What?
"This is your new reality. You've got your office. You've got neighbors. You've got one employee, one volunteer. Until she finds actual, paid work, or gets sick of you.",I talked to Chase and Taub. They're willing to come back.
What about Thirteen?,Not a good choice. She's not long term because she has no long term.
Not taking your calls?,She will.
Discharge the Patient.,"Unexplained loss of consciousness could be cardiomyopathy, global anoxia, subarachnoid hemorrhageï¿½"
"You've got two choices, House. You can recognize that your Patient is just a very nice, healthy guy, and send him home, or you can consider altruism a symptom. In which case, you cannot take his money.",Send him home. And check with admitting for the net worth of all new Patients.
"I'm not coming back, House.","Technically, you're back right now."
"I need you to stop calling me. First 17 messages were cute, butï¿½",I'm putting the band back together.
"Interesting that you nEver showed up at my place, what with your love of annoying me and your inability to take no for an answer. I'm guessing ankle monitor.",Guilty as charged. Literally.
"I'm not a doctor anymore, House.","The job went away, but not the profession. You look healthy, so! that's not it. You met a boy. Or a girl. Fall in love, wanna be happy. You decided to! enjoy what time you have left. You're going to Thailand."
Turns out I like boring.,"No, you wanna like boring. But if you actually liked boring, you would have figured that out in fifth grade, when you were bored."
Please stop calling me.,No.
No.,You showed up to tell me that you don't want to hear from me. That's a mixed signal. I will choose to listen to your actions rather than your words. They're more honest.
Patient got tachycardic to 185. We pushed 18 milligrams adenosine. There's definitely something wrong with him.,"Which is awesome. Now there's something to cure, which means there's something to be disproportionately financially grateful for."
Thanks.,Arrhythmia could easily have caused the collapse that landed Father Teresa in here in the first place.
What about Whipple's?,"If it was Whipple's, there'd be some kind of neurological involvement."
You don't think defying huMan nature is neurological?,Racing heart: Medical condition. Bleeding heart: Stupid condition.
"Are you saying that because you beliEve it, or because it's in your financial best interest to think his generosity isn't just temporary?",I'm told that some people are just nice. I'm trying to embrace that wisdom.
Benjamin's been taking allergy medication the last few weeks. Long QT syndrome can be medication-induced.,"Flush him with saline, get rid of the antihistamines, then do an EKG. No, wait. I'll do the flushing. Take the damn $2.00. She hasn't Even sipped the coffee."
Benjamin's room--,"I just got so angry. You know? So I made a terrible mistake. Now I'm trying to start my life over. To help people the way I always wanted. But my department got defunded, and! it's my fault. Just can't stand to think of all those Patients going untreated because I don't have the resources to do my best work."
